"Commune" "Prix_median" "Revenu_median"
"Rouvroy" 164500 25852
"Anhee" 186500 26586
"Beauraing" 140000 24610
"Bievre" 147000 24659
"Ciney" 199000 25030
"Dinant" 155000 21693
"Gedinne" 135000 24154
"Hamois" 2e+05 30021
"Havelange" 190000 26003
"Houyet" 155000 24908
"Onhaye" 185000 26100
"Rochefort" 150000 24614
"SommeLeuze" 110000 26094
"Yvoir" 157500 27696
"Hastiere" 65250 20786
"VressesurSemois" 113750 22147
"Andenne" 193500 24671
"Assesse" 241000 30070
"Eghezee" 265000 29743
"Floreffe" 248000 29533
"FosseslaVille" 210000 26248
"Gesves" 265000 28485
"Mettet" 2e+05 27140
"Namur" 220000 24687
"Ohey" 235000 28161
"Profondeville" 240000 27907
"Sombreffe" 235000 28522
"Sambreville" 175000 23768
"Fernelmont" 242500 30967
"JemeppesurSambre" 182250 25911
"LaBruyere" 259000 32947
"Gembloux" 240000 28825
"Cerfontaine" 130000 24874
"Couvin" 130000 22342
"Doische" 125000 23557
"Florennes" 135000 25184
"Philippeville" 120000 24698
"Walcourt" 158500 28084
"Viroinval" 96250 21650
